date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:17:30	233/233	---M--	404	error ('NOT%20FOUND')	text/html	date:Wed,%2006%20Mar%202019%2019:17:30%20GMT	http://127.0.0.1/robots.txt		(from )
14:17:30	3190/3190	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2019:17:30%20GMT	http://127.0.0.1/	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/index.html	(from )
14:17:31	926/926	---M--	200	added ('OK')	text/css	etag:%221462984303.0-926-2032865523%22	http://127.0.0.1/static/css/flexible-grids.css	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/css/flexible-grids.css	(from http://127.0.0.1/)
14:17:31	3372/3372	---M--	200	added ('OK')	application/javascript	etag:%221470251520.0-3372-1247481831%22	http://127.0.0.1/static/javascript/image.js	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/javascript/image.js	(from http://127.0.0.1/)
14:17:32	12013/12013	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2019:17:31%20GMT	http://127.0.0.1/publications	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/publications.html	(from http://127.0.0.1/)
14:17:32	8468/8468	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2019:17:31%20GMT	http://127.0.0.1/people	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/people.html	(from http://127.0.0.1/)
14:17:32	4431/4431	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2019:17:32%20GMT	http://127.0.0.1/research/	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/research/index.html	(from http://127.0.0.1/)
14:17:32	5336/5336	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2019:17:32%20GMT	http://127.0.0.1/collaborations	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/collaborations.html	(from http://127.0.0.1/)
14:17:32	3862/3862	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2019:17:32%20GMT	http://127.0.0.1/contact	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/contact.html	(from http://127.0.0.1/)
14:17:33	3050/3050	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2019:17:32%20GMT	http://127.0.0.1/opportunities	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/opportunities.html	(from http://127.0.0.1/)
14:17:38	92629/92629	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js	D:/Davis/Downloads/Website/VEM_Lab/ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js	(from http://127.0.0.1/)
14:18:48	14734/14734	---M--	200	added ('OK')	text/css	etag:%221371002880.0-14734-914624319%22	http://127.0.0.1/static/yaml/core/base.css	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/yaml/core/base.css	(from http://127.0.0.1/static/css/flexible-grids.css)
14:18:48	2635/2635	---M--	200	added ('OK')	text/css	etag:%221371002880.0-2635-2973241935%22	http://127.0.0.1/static/yaml/navigation/hlist.css	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/yaml/navigation/hlist.css	(from http://127.0.0.1/static/css/flexible-grids.css)
14:18:49	22695/22695	---M--	200	added ('OK')	text/css	etag:%221371002880.0-22695-2930577941%22	http://127.0.0.1/static/yaml/forms/gray-theme.css	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/yaml/forms/gray-theme.css	(from http://127.0.0.1/static/css/flexible-grids.css)
14:18:50	8845/8845	---M--	200	added ('OK')	text/css	etag:%221371002880.0-8845-3297776338%22	http://127.0.0.1/static/yaml/screen/typography.css	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/yaml/screen/typography.css	(from http://127.0.0.1/static/css/flexible-grids.css)
14:18:50	3859/3859	---M--	200	added ('OK')	text/css	etag:%221371002880.0-3859-2938377795%22	http://127.0.0.1/static/yaml/screen/screen-FULLPAGE-layout.css	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/yaml/screen/screen-FULLPAGE-layout.css	(from http://127.0.0.1/static/css/flexible-grids.css)
14:18:50	1214/1214	---M--	200	added ('OK')	text/css	etag:%221371002880.0-1214-1499730005%22	http://127.0.0.1/static/yaml/print/print.css	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/yaml/print/print.css	(from http://127.0.0.1/static/css/flexible-grids.css)
14:18:50	3775/3775	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2019:18:50%20GMT	http://127.0.0.1/research/ges	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/research/ges.html	(from http://127.0.0.1/research/)
14:18:52	1796681/1796681	---M--	200	added ('OK')	image/png	etag:%221464819142.0-1796681-415436438%22	http://127.0.0.1/static/img/home_pic.png	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/img/home_pic.png	(from http://127.0.0.1/)
14:19:01	3652/3652	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2019:19:01%20GMT	http://127.0.0.1/research/vsp	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/research/vsp.html	(from http://127.0.0.1/research/)
14:19:03	258735/258735	---M--	200	added ('OK')	image/png	etag:%221465585744.0-258735-1479675965%22	http://127.0.0.1/static/img/research_ges.png	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/img/research_ges.png	(from http://127.0.0.1/research/)
14:19:06	4706/4706	---M--	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2019:19:06%20GMT	http://127.0.0.1/research/dmi	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/research/dmi.html	(from http://127.0.0.1/research/)
14:19:08	121219/121219	---M--	200	added ('OK')	image/png	etag:%221465586047.0-121219-1491079255%22	http://127.0.0.1/static/img/research_vsp.png	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/img/research_vsp.png	(from http://127.0.0.1/research/)
14:19:15	166770/166770	---M--	200	added ('OK')	image/png	etag:%221465585314.0-166770-1478168632%22	http://127.0.0.1/static/img/research_dmi.png	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/img/research_dmi.png	(from http://127.0.0.1/research/)
14:19:48	789137/789137	---M--	200	added ('OK')	application/pdf	etag:%221519915611.0-789137-1224347583%22	http://127.0.0.1/static/attachment/aaai.pdf	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/attachment/aaai.pdf	(from http://127.0.0.1/publications)
14:20:00	316792/316792	---M--	200	added ('OK')	application/pdf	etag:%221493043094.0-316792-2200178722%22	http://127.0.0.1/static/attachment/CBMS2017.pdf	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/attachment/CBMS2017.pdf	(from http://127.0.0.1/publications)
14:20:11	249761/249761	---M--	200	added ('OK')	application/pdf	etag:%221516225728.0-249761-2571376319%22	http://127.0.0.1/static/attachment/alzheimer_cog_decline.pdf	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/attachment/alzheimer_cog_decline.pdf	(from http://127.0.0.1/publications)
14:20:18	177533/177533	---M--	200	added ('OK')	application/pdf	etag:%221471542228.0-177533-428936805%22	http://127.0.0.1/static/attachment/2.pdf	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/attachment/2.pdf	(from http://127.0.0.1/publications)
14:20:43	612185/612185	---M--	200	added ('OK')	application/pdf	etag:%221471542926.0-612185-429592167%22	http://127.0.0.1/static/attachment/4.pdf	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/attachment/4.pdf	(from http://127.0.0.1/publications)
14:22:06	2031744/2031744	---M--	200	added ('OK')	application/pdf	etag:%221472070927.0-2031744-495981576%22	http://127.0.0.1/static/attachment/5AMDScotomaPaper.pdf	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/attachment/5AMDScotomaPaper.pdf	(from http://127.0.0.1/publications)
